scope,cluster,cluster_name,variant,rmse,mae,r2,nrmse_std,nmae_std
cluster,0,cluster_0,global_shared_model,0.9378081600759526,0.5769122926464719,0.41536007732350844,0.7646175008956372,0.47037043845256366
cluster,0,cluster_0,cluster_specific_model,0.9463896718408387,0.5708868715260439,0.4046115056796765,0.7716142133992289,0.46545776799918187
cluster,1,cluster_1,global_shared_model,1.65411295411433,0.9566295358357256,0.7022715936466646,0.5456449453200748,0.3155649494638892
cluster,1,cluster_1,cluster_specific_model,1.5441427320959242,0.9223150680910054,0.7405433355944476,0.5093688883368936,0.30424557987084916
cluster,2,cluster_2,global_shared_model,1.0460958256380004,0.6661702043119097,0.39393656743553795,0.778500759515287,0.4957614754910044
cluster,2,cluster_2,cluster_specific_model,1.0432239571449766,0.6622500137327161,0.39725967660301353,0.7763635252885052,0.4928440837296086
cluster,3,cluster_3,global_shared_model,0.8727365548925915,0.5708741638708626,0.30747996012764156,0.8321778895599148,0.5443439423169374
cluster,3,cluster_3,cluster_specific_model,0.8804816327951267,0.5682935503063559,0.29513391758303853,0.8395630306397475,0.5418832575457521
cluster,4,cluster_4,global_shared_model,0.8040747597852705,0.510542568074457,0.3802217643119089,0.7872599543280838,0.49986610564939954
cluster,4,cluster_4,cluster_specific_model,0.8170214534583086,0.515861814626651,0.360102544951303,0.7999359068383423,0.5050741161568534
overall,-1,overall,global_shared_model,0.9405081730514221,0.5913394528945287,0.4110009113305203,0.7674627604514028,0.48253808088645306
overall,-1,overall,cluster_specific_model,0.9430081148322443,0.5878029475310376,0.4078655416816418,0.7695027344516848,0.479652262085102
